"id","tree","Sp","x","y","h.dist","dbh","h","dead","v.user","w.user"
5,11,21,5.54589999991003,-7.54300000052899,9.362363794,26.4,15.8,NA,NA,0.1695843072
5,12,21,-6.7101000000257,8.10599999967963,10.52295956,30.4,17,NA,NA,0.241945088
5,13,21,9.29889999993611,5.28199999965727,10.69434735,24.5,15.7,NA,NA,0.145128445
5,14,21,1.46889999997802,-11.2530000004917,11.34846581,23.8,15.1,NA,NA,0.1317199576
5,15,21,11.2968999999575,-1.44199999980628,11.38856065,29.1,15.4,NA,NA,0.2008294596
5,16,21,8.63489999994636,-7.60699999984354,11.50773423,24.5,16.3,NA,NA,0.150674755
5,17,21,5.77289999998175,10.598000000231,12.0683047,29.8,15.8,NA,NA,0.2160778928
5,18,21,12.044899999979,1.2179999994114,12.10632645,27,15.2,NA,NA,0.17064432
5,19,21,-6.25410000002012,-10.839999999851,12.51476595,25.5,15.6,NA,NA,0.15621606
5,20,21,3.28689999994822,-12.2020000005141,12.63695041,32.9,16.7,NA,NA,0.2783742038
5,21,21,-5.20010000001639,11.6499999994412,12.75788149,22.8,14.7,NA,NA,0.1176813792
5,22,21,-8.58110000006855,-9.57700000051409,12.85901265,42.5,16.8,NA,NA,0.467313
5,23,21,11.3058999999193,6.48199999984354,13.03225609,27.3,16.2,NA,NA,0.1859349492
5,24,21,12.1238999998895,-4.92100000008941,13.0845402,32.1,16.6,NA,NA,0.2634140124
5,25,21,-9.86010000004899,8.63899999950081,13.10930559,24.1,14.8,NA,NA,0.1323782152
5,26,21,-13.1001000000397,-2.4089999999851,13.31975604,36.2,16.9,NA,NA,0.3410551144
5,27,21,10.3978999999817,9.24699999950826,13.91486016,31,18,NA,NA,0.2663892
5,28,21,-14.1530999999959,2.41299999970943,14.35732596,30,14.1,NA,NA,0.195426
5,29,21,-9.63610000000335,11.6129999998957,15.09026813,30.9,15.8,NA,NA,0.2323243692
5,30,21,2.30989999999292,-15.0219999998808,15.19855658,25,16.5,NA,NA,0.1588125
5,31,21,10.8528999999398,-11.5920000001788,15.87954352,31,15.4,NA,NA,0.22791076
5,32,21,-5.04910000006203,15.4110000003129,16.21703832,28.5,15.2,NA,NA,0.19013148
5,33,21,-16.3041000000667,1.06900000013411,16.33910762,32.5,14.6,NA,NA,0.23748725
5,34,21,-4.57210000010673,-15.9950000001118,16.63562813,27,15.6,NA,NA,0.17513496
5,35,21,0.105899999965914,16.7489999998361,16.74933479,30.8,14.6,NA,NA,0.2132922176
5,36,21,11.218899999978,12.4769999999553,16.77913127,36.2,17.4,NA,NA,0.3511455024
5,37,21,-14.1861000000499,9.42999999970198,17.03438679,37.5,16.8,NA,NA,0.363825
5,38,21,-8.13810000009835,15.3650000002235,17.3871187,35.8,16.9,NA,NA,0.3335596264
5,39,21,-17.0371000000741,-6.47400000039488,18.22568112,33.5,15.3,NA,NA,0.264424545
5,40,21,-8.26110000000335,-16.5760000003502,18.52051698,31,16.4,NA,NA,0.24271016
5,41,21,-11.2301000000443,15.3219999996945,18.99681105,24.8,16,NA,NA,0.151545856
5,42,21,18.1308999999892,-6.7609999999404,19.35046914,35.2,17.6,NA,NA,0.3358294016
5,43,21,7.8788999998942,17.7160000000149,19.38901032,36.7,16.6,NA,NA,0.3443189596
6,1,21,4.7896999999648,3.11099999956787,5.711352474,37.5,16.8,NA,NA,0.363825
6,2,21,2.67169999994803,-5.25,5.890711408,32.5,14.6,NA,NA,0.23748725
6,3,21,4.82270000001881,-3.90600000042468,6.206067297,30,14.1,NA,NA,0.195426
6,4,21,3.12369999999646,6.84999999962747,7.528612202,32.6,14.6,NA,NA,0.2389509584
6,5,21,9.11569999996573,2.3199999993667,9.406295046,24.1,14.8,NA,NA,0.1323782152
6,6,21,-8.57630000007339,-5.3730000006035,10.12037799,42.5,16.3,NA,NA,0.453404875
6,7,21,5.87569999997504,-8.72800000011921,10.52149393,36.2,16.9,NA,NA,0.3410551144
6,8,21,9.33970000001136,5.29399999976158,10.73575484,30.9,15.8,NA,NA,0.2323243692
6,9,21,-1.91529999999329,10.7779999999329,10.94685608,27,13.2,NA,NA,0.14819112
6,10,21,-0.742300000041723,-11.0499999998137,11.07490448,37,15.8,NA,NA,0.33310508
6,11,21,11.1936999999452,-3.01400000043213,11.59237317,32,17,NA,NA,0.2680832
